Inativo,Emp.,Dt.DAV,Unnamed: 3,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,11.0,2024-01-04,110003363.0,1.0,,LENTE COM AR,1.0,145.0,,
,11.0,2024-01-04,110003364.0,1.0,,LENTE COM AR,1.0,290.0,,
,11.0,2024-01-04,110003365.0,1.0,,MEIO PAR MULTI INCOLOR,1.0,350.0,,
,11.0,2024-01-05,110003366.0,1.0,,SOLAR,1.0,60.0,,
,11.0,2024-01-05,110003367.0,1.0,,MULTI FOTO BLUE AR,1.0,1300.0,,
,11.0,2024-01-05,110003367.0,1.0,,OTM SH 192 C1,1.0,390.0,,
,11.0,2024-01-08,110003368.0,1.0,,OTM W-102 C6,1.0,249.92,,
,11.0,2024-01-08,110003368.0,1.0,,CR AR,1.0,240.08,,
,11.0,2024-01-10,110003369.0,1.0,,OTM 23006,1.0,149.0,,
,11.0,2024-01-10,110003369.0,1.0,,BLUE,1.0,250.0,,
,48.0,2024-01-04,480003981.0,1.0,,CONCERTO,1.0,30.0,,
,48.0,2024-01-06,480003983.0,1.0,,LENTE CR AR,1.0,245.0,,
,48.0,2024-01-06,480003983.0,1.0,,ARMAÇÃO BELLATIS,1.0,100.0,,
,48.0,2024-01-06,480003984.0,1.0,,LENTE CR AR,1.0,245.0,,
,48.0,2024-01-06,480003984.0,1.0,,ARMAÇÃO,1.0,100.0,,
,48.0,2024-01-06,480003985.0,1.0,,PASSAGEM BELLATIS,1.0,150.0,,
,48.0,2024-01-08,480003986.0,1.0,,ARMAÇÃO SPEEDO,1.0,450.0,,
,48.0,2024-01-08,480003986.0,1.0,,LENTE MULT COM COLORAÇÃO,1.0,550.0,,
,48.0,2024-01-08,480003987.0,1.0,,LENTE MULTI COM COLORAÇÃO,1.0,350.0,,
,48.0,2024-01-08,480003989.0,1.0,,ACESSORIO CLIPON,1.0,140.0,,
,48.0,2024-01-09,480003991.0,1.0,,BELLATIS 8576,1.0,290.0,,
,48.0,2024-01-09,480003991.0,1.0,,LENTE MULTI AR,1.0,560.0,,
,48.0,2024-01-10,480003992.0,1.0,,POLY SURF BLUE AR,1.0,875.75,,
,48.0,2024-01-10,480003993.0,1.0,,POLY SURF BLUE AR,1.0,957.5,,
,48.0,2024-01-10,480003994.0,1.0,,MULTI INCOLOR,1.0,399.0,,
,48.0,2024-01-11,480003995.0,1.0,,ARMAÇÃO,1.0,200.0,,
,48.0,2024-01-11,480003995.0,1.0,,"LENTE MAXXEE ,ULTI AR FOTO",1.0,1550.0,,
,48.0,2024-01-12,480003997.0,1.0,,MULTI AR,1.0,800.0,,
,48.0,2024-01-12,480003997.0,1.0,,ARMAÇÃO,1.0,200.0,,
,48.0,2024-01-12,480003998.0,1.0,,BLUE AR,1.0,464.0,,
,48.0,2024-01-12,480003998.0,1.0,,ARMAÇÃO,1.0,200.0,,
,48.0,2024-01-13,480003999.0,1.0,,LENTE MULTI FOTO INCOLOR,1.0,740.08,,
,48.0,2024-01-13,480003999.0,1.0,,ARMAÇÃO ,1.0,249.92,,
,48.0,2024-01-13,480004000.0,1.0,,LENTE CR AR BLUE ,1.0,370.0,,
,48.0,2024-01-13,480004000.0,1.0,,ARMAÇÃO CARMEN VITTI,1.0,200.0,,
,48.0,2024-01-13,480004001.0,1.0,,POLY BLUE AR,1.0,900.0,,
,48.0,2024-01-13,480004001.0,1.0,,ARMAÇÃO,1.0,250.0,,
,48.0,2024-01-13,480004002.0,1.0,,LENTE POLY AR,1.0,441.0,,
,48.0,2024-01-13,480004002.0,1.0,,ARMAÇÃO FL,1.0,249.0,,
,48.0,2024-01-13,480004003.0,1.0,,LENTE MULTI FOTO INCOLOR,1.0,1440.61,,
,48.0,2024-01-13,480004003.0,1.0,,ARMAÇÃO FL SL 6006,1.0,349.39,,
,48.0,2024-01-15,480004004.0,1.0,,LENTE CR AR BLUE ,1.0,374.28,,
,48.0,2024-01-15,480004004.0,1.0,,BELLATIS,1.0,148.72,,
,48.0,2024-01-15,480004005.0,1.0,,LENTE DE CONTATO COR MEL,1.0,690.0,,
,12.0,2024-01-05,120001879.0,1.0,,LENTE CR AR,1.0,650.0,,
,12.0,2024-01-05,120001879.0,1.0,,ARMAÇÃO TM,1.0,75.0,,
,12.0,2024-01-05,120001880.0,1.0,,MULTI INCOLOR,1.0,400.0,,
,12.0,2024-01-05,120001880.0,1.0,,ARMAÇÃO MARCA PRÓPRIA,1.0,250.0,,
,12.0,2024-01-09,120001881.0,1.0,,ARMAÇÃO TM,1.0,180.0,,
,12.0,2024-01-09,120001882.0,1.0,,TROCA DE HASTE,1.0,30.0,,
,12.0,2024-01-10,120001883.0,1.0,,BIFOCAL ULTEX,1.0,460.0,,
,12.0,2024-01-10,120001883.0,1.0,,ARMAÇÃO TM,1.0,29.9,,
,12.0,2024-01-10,120001883.0,1.0,,SOLAR DE BRINDE,1.0,0.0,,
,12.0,2024-01-10,120001884.0,1.0,,CR AR ,1.0,320.0,,
,12.0,2024-01-10,120001884.0,1.0,,ARMAÇÃO TM,1.0,29.9,,
,12.0,2024-01-10,120001884.0,1.0,,SOLAR DE BRINDE,1.0,0.0,,
,12.0,2024-01-10,120001885.0,1.0,,LENTE CR BLUE AR,1.0,520.09,,
,12.0,2024-01-10,120001885.0,1.0,,ARMAÇÃO TM,1.0,29.9,,
,12.0,2024-01-10,120001885.0,1.0,,SOLAR BRINDE,1.0,0.0,,
,12.0,2024-01-10,120001887.0,1.0,,BLUE AR RES AZUL,1.0,370.0,,
,12.0,2024-01-10,120001887.0,1.0,,ARMAÇÃO TM,1.0,29.99,,
,12.0,2024-01-10,120001888.0,1.0,,ARMAÇÃO TM,1.0,370.0,,
,12.0,2024-01-10,120001888.0,1.0,,BLUE AR RES AZUL,1.0,29.99,,
,12.0,2024-01-13,120001890.0,1.0,,LENTE MULTI BLUE COM AR,1.0,570.01,,
,12.0,2024-01-13,120001890.0,1.0,,ARMAÇÃO TM,1.0,29.99,,
,11.0,2024-01-11,110003370.0,1.0,,OTM,1.0,249.92,,
,11.0,2024-01-11,110003370.0,1.0,,BLUE COM AR,1.0,349.08,,
,11.0,2024-01-11,110003371.0,1.0,,EXAME,1.0,60.0,,
,11.0,2024-01-11,110003372.0,1.0,,ARMAÇÃO ,1.0,250.0,,
,11.0,2024-01-11,110003372.0,1.0,,MULTI AR,1.0,699.0,,
,11.0,2024-01-12,110003373.0,1.0,,OTM NV90118 C1,1.0,191.0,,
,11.0,2024-01-12,110003373.0,1.0,,MULTI BLUE AR,1.0,899.0,,
,11.0,2024-01-12,110003374.0,1.0,,FL,1.0,264.0,,
,11.0,2024-01-12,110003374.0,1.0,,CR BLUE AR,1.0,426.0,,
,11.0,2024-01-12,110003375.0,1.0,,CONCERTO,1.0,50.0,,
,11.0,2024-01-12,110003376.0,1.0,,MULTI BLUE AR,1.0,500.0,,
,11.0,2024-01-12,110003376.0,1.0,,OTM W102 C6,1.0,190.0,,
,11.0,2024-01-13,110003377.0,1.0,,OTM G57008 C2,1.0,433.84,,
,11.0,2024-01-13,110003377.0,1.0,,1.67 CIL EXTENDIDO BLUE AR,1.0,1112.16,,
,11.0,2024-01-13,110003378.0,1.0,,OTM 86013 C1,1.0,249.92,,
,11.0,2024-01-13,110003378.0,1.0,,1.67 AR,1.0,548.08,,
,9.0,2024-01-02,900000565.0,1.0,,CR AR,1.0,299.0,,
,9.0,2024-01-02,900000565.0,1.0,,BLUE AR,1.0,399.0,,
,9.0,2024-01-04,900000568.0,1.0,,CR AR,1.0,448.0,,
,9.0,2024-01-03,900000567.0,1.0,,CR AR,1.0,299.0,,
,9.0,2024-01-05,900000570.0,1.0,,TROCA DE MOLA,1.0,40.0,,
,9.0,2024-01-10,900000572.0,1.0,,MULTI FOTO AR,1.0,500.0,,
,9.0,2024-01-10,900000572.0,1.0,,SPEEDO,1.0,300.0,,
,9.0,2024-01-10,900000573.0,1.0,,ARMAÇÃO MALU,1.0,100.0,,
,9.0,2024-01-11,900000574.0,1.0,,MULTI FOTO AR,1.0,200.0,,
,9.0,2024-01-11,900000574.0,1.0,,MALU,1.0,99.0,,
,48.0,2024-01-16,480004006.0,1.0,,1.67 FOTO AR,1.0,2358.0,,
,48.0,2024-01-16,480004006.0,1.0,,ARMAÇÃO MALU,1.0,290.0,,
,48.0,2024-01-16,480004007.0,1.0,,LENTE MULTI AR,1.0,100.0,,
,48.0,2024-01-16,480004008.0,1.0,,MULTI FOTO AR,1.0,549.09,,
,48.0,2024-01-16,480004008.0,1.0,,ARMAÇÃO TM,1.0,249.92,,
,48.0,2024-01-16,480004009.0,1.0,,ARMAÇÃO FL,1.0,199.92,,
,48.0,2024-01-16,480004010.0,1.0,,HOYA AMPLUS BLUE CONTROLL EM DOBRO,1.0,1302.0,,
,48.0,2024-01-16,480004010.0,1.0,,ARMAÇÃO TNG,1.0,450.0,,
,48.0,2024-01-16,480004011.0,1.0,,HOYA AMPLUS BLUE CONTROLL EM DOBRO,1.0,952.0,,
,48.0,2024-01-17,480004012.0,1.0,,MULTI AR,1.0,195.0,,
,48.0,2024-01-17,480004012.0,1.0,,ARMAÇÃO BELLATIS ,1.0,195.0,,
